,1,2,3,4,5,6,7,8,9,10
,斗鱼,熊猫TV,虎牙,战旗TV,龙珠,火猫,花椒,一直播,全民TV,触手TV
2018年03月26日（周一）,13285297,960629,240668,3050508,460897,1216115,112413,158401,196724,194169
2018年03月27日（周二）,13285297,919751,210520,2989191,481336,1221225,117523,158401,212053,189060
2018年03月28日（周三）,13234200,889093,199279,2978972,490534,1170128,112413,148182,196213,189060
2018年03月29日（周四）,13183103,894202,211031,2922765,470095,1124140,122633,143072,211542,173730
2018年03月30日（周五）,13438589,873763,226361,2835900,470095,1113920,127743,132852,194169,173730
2018年03月31日（周六）,13387492,873763,216141,2764363,485424,1047494,117523,127743,189059,163511
2018年04月01日（周日）,13438589,863544,200812,2743924,485424,960629,132853,132852,199279,184972
2018年04月02日（周一）,13438589,868654,211542,2749034,490534,924860,161978,143072,189060,169643
2018年04月03日（周二）,13642978,914641,231981,2800131,424107,1016836,161978,132852,173730,174752
2018年04月04日（周三）,14000659,899312,206433,2805241,413888,1088372,167088,122633,173730,174752
2018年04月05日（周四）,14358341,883983,179351,2892107,418997,1113921,156868,122633,153291,195191
2018年04月06日（周五）,14409438,868654,194680,3019850,362790,1165018,141539,127743,177307,195191
2018年04月07日（周六）,14051757,873763,194680,3096496,301474,1267212,172197,122633,182417,212564
2018年04月08日（周日）,14102854,889093,193147,3076057,352571,1185457,172197,107304,182417,175774
2018年04月09日（周一）,14051757,894202,187016,3086276,316803,1144579,168621,134896,202856,170664
2018年04月10日（周二）,13847367,853324,202856,3122045,362790,1027055,173730,129786,202856,165555
2018年04月11日（周三）,12314448,853324,228405,3101606,347461,924861,173730,129786,213075,170153
2018年04月12日（周四）,10623128,853324,262129,3009631,367900,837995,168621,150225,228405,159934
2018年04月13日（周五）,8936917,837995,262640,2938094,449656,720472,168621,160445,220740,170154
2018年04月14日（周六）,9396793,889092,303518,2851229,531411,577399,143072,180884,229427,178329
2018年04月15日（周日）,9447890,975958,311182,2805241,546741,613167,153291,201323,260085,219207
2018年04月16日（周一）,9498987,904422,291254,2738815,541631,623387,137962,178840,254975,229426
2018年04月17日（周二）,9498987,935080,265195,2641730,536521,674484,132852,199279,265195,234536
2018年04月18日（周三）,10929712,965739,273881,2585523,536521,725581,122633,214609,272859,229937
2018年04月19日（周四）,12416643,986178,250376,2559974,516082,756240,107712,222273,262640,224828
2018年04月20日（周五）,12518838,1589126,249865,2539535,471116,776679,112822,206944,251398,233514
2018年04月21日（周六）,10985919,1578906,188549,2513987,532433,817556,117932,186505,237602,207965
2018年04月22日（周日）,10934822,1548248,197746,2519096,537543,827776,102603,176285,223295,177307
2018年04月23日（周一）,10883724,1609565,207966,2503767,532433,878873,112822,166066,207966,182417
2018年04月24日（周二）,10781530,1624894,207966,2457780,552872,832886,112822,160956,202856,182417
2018年04月25日（周三）,10577140,1589126,215119,2483328,547251,807337,123042,166066,220740,177307
2018年04月26日（周四）,10372751,1630003,237091,2498658,562581,786898,137962,148182,276947,167088
2018年04月27日（周五）,11854573,1078153,242201,2462889,576888,817556,148182,148182,220740,137962
2018年04月28日（周六）,13285297,1067933,267749,2457780,561559,914641,148182,153291,271837,132852
2018年04月29日（周日）,13489686,996397,277969,2422011,536010,1083262,148182,137962,285123,148182
2018年04月30日（周一）,12416643,1016836,293298,2478218,546230,1226335,127743,137962,278991,153291
2018年05月01日（周二）,12416643,981068,313737,2544645,536010,1440943,132852,127743,289210,158401
2018年05月02日（周三）,12467740,965739,292787,2529316,536521,1599345,137962,127743,278991,158401
2018年05月03日（周四）,12621032,940190,275925,2452670,501264,1670881,137962,132852,238113,158401
2018年05月04日（周五）,12569935,889093,260596,2452670,516593,1614674,137962,137962,187016,168621
2018年05月05日（周六）,12569935,853324,260596,2457780,399070,1691320,132853,156868,187016,204389
2018年05月06日（周日）,12314449,858434,260596,2447560,409289,1911039,132853,182417,163511,194169
2018年05月07日（周一）,13438589,843105,250377,2355585,391916,1767966,148182,192636,153291,178840
2018年05月08日（周二）,13591881,822666,229938,2284049,412355,1558467,148182,187527,134896,178840
2018年05月09日（周三）,13642978,858434,235047,2273829,458342,1466492,132852,182417,124677,173730
2018年05月10日（周四）,13642978,817556,235047,2232951,503819,1420505,127743,187527,124677,183950
2018年05月11日（周五）,12058962,853325,240157,2207403,508929,1512480,112413,182417,170665,194169
2018年05月12日（周六）,12058962,848215,229938,2197183,580465,1410285,102194,163511,252420,168621
2018年05月13日（周日）,12212254,868654,189060,2186964,570246,1006616,112414,153291,303518,168621
2018年05月14日（周一）,12672130,832886,173731,2192074,560537,1093482,117523,143072,344395,178840
2018年05月15日（周二）,12569935,873763,189060,2217622,534988,1154798,102194,189059,475205,173730
2018年05月16日（周三）,12518838,863544,189060,2217622,534988,1159908,97084,201834,521192,173730
2018年05月17日（周四）,11190308,904422,189060,2350475,534988,1129250,102194,232492,597838,194680
2018年05月18日（周五）,12774324,878873,183950,2365804,519659,1139469,107304,242712,613167,179351
2018年05月19日（周六）,11139211,889093,178840,2416902,477759,1195676,122633,263662,643826,179351
2018年05月20日（周日）,11088113,889093,178840,2381133,503308,1354078,112413,273881,633606,174241
2018年05月21日（周一）,10526043,899312,194170,2386243,520170,1205896,102194,278991,628496,158912
2018年05月22日（周二）,10526043,878873,189060,2416902,515060,1170128,102194,233003,531411,164022
